,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Country,Happiness Score,Local Purchasing Power Index,Cost of Living Index,Capital,Latitude,Longitude,Rank,Crime Index,Safety Index,Normalized Happiness,Normalized Local Purchasing Power,Normalized Safety,"Equally Weighted Safety, Purchasing, and Happiness",Z-Score Happiness Score,Z-Score Safety Index,Z-Score Local Purchasing Power,"Equally Weighted Z-Score Safety, Purchasing, and Happiness"
0,0,0,0,Finland,7821.0,91.02,73.2,Helsinki,60.16666666666666,24.933333,380.3333333333333,27.76333333333333,72.23666666666666,1.0,0.7486709440879926,0.8129082013833658,2.8012754825551656,1.8781662026498571,1.1177363940400695,1.6050715663675263,3.917257057927044
1,1,1,1,Denmark,7636.0,99.45,84.12,Copenhagen,55.66666666666666,12.583333,411.0,24.27,75.73,0.9658482554919696,0.8259395050412466,0.8634227460053504,2.8317979730091483,1.7053239439150527,1.347331442195695,1.919170642170426,4.06349092466188
2,2,2,2,Iceland,7557.0,77.06,94.86,Reykjavik,64.15,-21.95,421.0,23.02,76.98,0.951264537566919,0.6207149404216316,0.8814980840141712,2.780783230131013,1.631515628022893,1.429486158854435,1.0849264776120724,3.742237694003113
3,3,3,3,Switzerland,7512.0,118.44,123.35,Bern,46.91666666666666,7.466667,427.8333333333333,21.156666666666663,78.84333333333333,0.942957356470371,1.0,0.9084423878726532,2.901247255387139,1.5894729164387515,1.5519514564870631,2.6267319054559617,4.485258824680752
4,4,4,4,Netherlands,7415.0,87.99,75.66,Amsterdam,52.35,4.916667,385.5,27.235,72.765,0.9250507661067012,0.7208982584784601,0.8205480442484275,2.745889643190718,1.4988475159129353,1.1524604542811638,1.4921747455273382,3.619932373155346
5,5,5,5,Sweden,7384.0,98.14,71.74,Stockholm,59.333333333333336,18.05,220.4,44.884,55.116,0.9193280413513014,0.8139321723189734,0.5653387318342853,2.607027245126885,1.46988475904386,-0.0074984211669169906,1.870360465503546,3.253250432699879
6,6,6,6,Norway,7365.0,83.11,100.9,Oslo,59.91666666666666,10.75,361.4,29.610000000000003,70.39,0.9158205648883144,0.6761686526122823,0.786204902031668,2.7051987793259205,1.452133391930556,0.9963664926295579,1.310347522523999,3.4227836587344633
7,7,7,7,Israel,7364.0,75.58,88.05,Jerusalem,31.766666666666666,35.233333,364.0,29.906666666666663,70.09333333333332,0.9156359608639468,0.6071494042163152,0.7819150218109077,2.6857983316978085,1.4511991094509082,0.9768684398758827,1.0297821558815514,3.3131310253780017
8,8,8,8,New Zealand,7200.0,83.63,74.52,Wellington,-41.3,174.783333,259.0,41.27,58.73,0.885360900867639,0.6809349220898258,0.6175981490853878,2.575826443409257,1.2979767827887034,0.2300272956368317,1.329722554483371,2.926059895858142
9,9,9,9,Austria,7163.0,77.25,71.04,Vienna,48.2,16.366667,387.0,27.115,72.885,0.8785305519660329,0.6224564619615032,0.8222832766972744,2.6901757233009884,1.2634083310417425,1.1603473070804031,1.092005816212612,3.3139997680870303
