,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Country,Happiness Score,Local Purchasing Power Index,Cost of Living Index,Capital,Latitude,Longitude,Rank,Crime Index,Safety Index,Normalized Happiness,Normalized Local Purchasing Power,Normalized Safety,"Equally Weighted Safety, Purchasing, and Happiness",Z-Score Happiness Score,Z-Score Safety Index,Z-Score Local Purchasing Power,"Equally Weighted Z-Score Safety, Purchasing, and Happiness","Biased Happiness, Purchasing, then Safety","Biased Happiness, Safety, then Purchasing","Biased Purchasing, Happiness, then Safety","Biased Purchasing, Safety, then Happiness","Biased Safety, Purchasing, then Happiness","Biased Safety, Happiness, then Purchasing"
26,26,26,26,26,Italy,6467.0,61.74,66.47,Rome,41.9,12.483333,203.0,47.11166666666667,52.88833333333333,0.750046151006092,0.4802933088909258,0.5331260694574987,2.375672270761864,0.6131477252070197,-0.153909080215013,0.5141082283474909,1.8927289024944336,4.163658046692521,4.550852170858354,3.4625661496355806,3.3993417270855515,4.058123704816428,4.5029340787878525
27,27,27,27,28,Lithuania,6446.0,58.74,45.65,Vilnius,54.68333333333333,25.316667,330.6666666666667,33.516666666666666,66.48333333333333,0.7461694664943695,0.4527956003666362,0.7297134456414336,2.499207927616543,0.5935277931344203,0.7396056181654428,0.4023291978126512,2.393204403651556,4.224427736223333,4.657267978409845,3.518319207255245,3.5136388548676,4.216629651174176,4.6537332305382355
28,28,28,28,29,Slovakia,6391.0,54.7,44.68,Bratislava,48.15,17.116667,370.0,29.89,70.11,0.7360162451541443,0.4157653528872594,0.7821560263176922,2.5224379743099785,0.5421422567538028,0.977963836098,0.2518001033590671,2.520703665453134,4.2220067267641825,4.676651619213579,3.4953701454697264,3.508545569914712,4.24380724414955,4.686507220715667
29,29,29,29,30,Estonia,6341.0,63.46,53.68,Tallinn,59.43333333333333,24.716667,426.5,22.145,77.85499999999999,0.7267860439357579,0.4960586617781852,0.8941508206203455,2.610684118906996,0.4954281327714233,1.486994460515552,0.578194872520799,2.95901268289418,4.296631044461662,4.7445882208782795,3.638383875292164,3.684096466890518,4.373842411309543,4.779732935956369
30,30,30,30,31,Panama,6309.0,33.09,51.43,Panama City,8.966666666666667,-79.533333,194.0,47.16,52.84,0.7208787151559904,0.2176901924839597,0.5324271563878246,2.314550833707376,0.4655310934227004,-0.1570857292591503,-0.5533815132602281,1.77890892201526,4.047570565431884,4.506164082145158,3.1903001663412676,3.130672776548323,3.9533556944800603,4.464147356178869
31,31,31,31,32,Brazil,6293.0,27.85,33.24,Brasilia,-15.783333333333331,-47.916667,57.23076923076923,67.51076923076923,32.48923076923077,0.7179250507661067,0.1696608615948671,0.2381495303192939,2.124397690508237,0.450582573748339,-1.4946150732121493,-0.7486222199277482,1.7056579674954075,3.933334485442663,4.342932743105717,3.0297184873558543,2.8669919901758045,3.681306574109964,4.231018053642186
32,32,32,32,33,Kazakhstan,6234.0,32.23,28.68,Astana,51.16666666666666,71.416667,195.5,48.650000000000006,51.35,0.7070334133284105,0.2098075160403299,0.51088135348131,2.289267291581342,0.3954599074491312,-0.2550141515163685,-0.5854248353468825,1.6867230079594393,4.0250386292529985,4.482258481232472,3.163378748941881,3.100751681377098,3.926363168071753,4.4382808578194135
33,33,33,33,34,Cyprus,6221.0,57.31,59.03,Nicosia,35.166666666666664,33.366667,359.5,30.96,69.03999999999999,0.7046335610116301,0.4396883593033914,0.7666835369821415,2.494047343271139,0.3833142352137125,0.9076393986381184,0.3490478599243777,2.382116864702294,4.197473520398321,4.644585392528448,3.489433492553821,3.5071706617867027,4.226935516225333,4.657925871074985
34,34,34,34,35,Latvia,6180.0,51.65,48.45,Riga,56.95,24.1,289.0,37.91,62.09,0.6970647960125531,0.3878093492208983,0.6661846576530982,2.409688014371744,0.3450086535481613,0.450859174015525,0.1381580889819799,1.9832116070897732,4.12868547902192,4.57462838118718,3.3769653017727372,3.3678085415679626,4.113699458060669,4.567873088128033
35,35,35,35,36,Serbia,6178.0,37.83,36.21,Belgrade,44.833333333333336,20.5,270.0,39.71,60.290000000000006,0.6966955879638176,0.2611365719523373,0.6401561709203963,2.374253670616339,0.3431400885888661,0.3325563820269397,-0.3767706450151816,1.9291676774713984,4.0777983976557115,4.550184082664264,3.252077819187441,3.2346454686664035,4.04997309913903,4.537741327141112
36,36,36,36,37,Chile,6172.0,33.27,43.9,Santiago,-33.45,-70.666667,86.0,59.8,40.2,0.6955879638176112,0.2193400549954171,0.3496493384426289,2.178229083344351,0.3375343937109805,-0.9878342241123284,-0.5466747714281378,1.4449911993430118,3.958707361497411,4.384784198986636,3.0855693712774523,2.971339949284762,3.779895431420539,4.305166108401964
37,37,37,37,39,Mexico,6128.0,38.62,35.35,Mexico City,19.433333333333334,-99.133333,169.30769230769232,52.16538461538461,47.83461538461539,0.687465386745431,0.2683776351970669,0.4600479413580419,2.2475110628430137,0.2964259646064865,-0.4860584931351014,-0.3473355003076738,1.4371840884028757,4.002155318051183,4.440862912464146,3.162664887667417,3.089921406914677,3.8868467178750197,4.389353997631629
38,38,38,38,40,Croatia,6125.0,47.55,48.94,Zagreb,45.8,16.0,394.6666666666667,26.136666666666667,73.86333333333333,0.6869115746723279,0.3502291475710357,0.8364302412455112,2.5180959369199685,0.2936231171675438,1.224647065318643,-0.014606586082301,2.573466278554686,4.178089852270672,4.66490234932235,3.4199289383471383,3.4633728180042285,4.249059834826983,4.6968448198614725
39,39,39,39,41,Poland,6123.0,59.95,38.95,Warsaw,52.25,21.0,331.57142857142856,33.39714285714286,66.60285714285715,0.6865423666235924,0.4638863428047662,0.7314417922472294,2.46120018962241,0.2917545522082486,0.7474611739297644,0.4474134067950366,2.21865480283046,4.177229639008861,4.611568000624756,3.4859884421740155,3.498844705073104,4.1986718327953,4.621294004457354
